id,Original_id,Sel_r,Sel_g,Sel_b,sex,Ori_r,Ori_g,Ori_b,Sel_hue,Sel_sat,Sel_bri,Ori_hue,Ori_sat,Ori_bri,Bri_sub,bri_sub_order,Sat_sub,sat_sub_order
99,122,194.32043,123.90152,112.93521,1,180.74788,123.96566,112.09966,5.701219,107.7835,194,6.874999,96.333336,180,-14,91,-11.450164,47
100,123,240.36374,191.74017,177.8376,1,224.31671,170.5998,159.73456,9.444444,66.9375,240,7.1923075,73.99554,224,-16,78,7.05804,140
101,124,232.15317,159.81248,153.0017,1,206.94394,145.03496,137.13695,3.2278483,86.8319,232,4.927535,85.41262,206,-26,41,-1.41928,83
102,125,247.1083,191.33162,173.2,2,216.08516,160.87497,142.78023,10.337836,76.39676,247,10.337836,87.361115,216,-31,29,10.964355,163
103,126,228.35353,157.16183,137.45909,1,209.00826,142.0307,122.04332,9.340659,101.77631,228,9.770115,106.14832,209,-19,65,4.37201,125
104,127,216.99654,152.53816,136.55139,2,190.48277,131.06491,116.61423,8.499999,94.44444,216,8.614864,99.31579,190,-26,42,4.87135,129
105,128,250.45526,188.9295,171.72276,2,224.73082,169.61494,149.1067,9.14557,80.58,250,11.333333,85.37946,224,-26,43,4.79946,128
106,129,253.6188,213.59946,197.85715,2,237.13766,177.79884,162.64049,12.142857,56.442688,253,8.499999,80.696205,237,-16,79,24.253517,180
107,130,233.43178,177.60783,160.15187,2,218.80356,157.02826,146.16052,9.897261,79.89271,233,6.493056,84.220184,218,-15,84,4.327474,124
108,131,236.16086,169.18723,156.84232,2,207.85526,148.0462,134.20998,6.906251,86.44068,236,8.150684,89.927536,207,-29,35,3.486856,119
109,132,246.973,190.63585,166.89053,2,240.50351,213.33984,190.51747,12.75,82.92683,246,19.55,53.125,240,-6,121,-29.80183,9
110,135,243.08472,186.24883,180.20253,1,211.73935,159.109,151.24106,4.047619,66.11111,243,5.6666665,72.51185,211,-32,24,6.40074,136
111,136,249.49397,197.01498,197.50249,1,234.09184,179.39383,178.72948,0,53.253014,249,0.75892824,61.025642,234,-15,85,7.772628,142
112,137,137.96796,99.47937,88.118805,1,197.7749,143.91864,137.9027,9.540817,91.20438,137,4.250001,77.66498,197,60,187,-13.5394,40
113,138,214.44505,153.17984,134.39455,2,196.07692,132.77107,116.526,10.093751,95.3271,214,8.499999,104.081635,196,-18,71,8.754535,147
114,139,185.03346,129.18193,121.91877,1,206.39053,148.7311,144.83017,5.3125,88.21622,185,2.7419355,76.747574,206,21,174,-11.468646,46
115,140,237.58339,176.94548,163.03642,2,214.23451,153.39493,139.90677,7.466217,79.620255,237,7.9333334,89.36916,214,-23,53,9.748905,156
116,141,250.53575,200.67468,187.85168,2,213.9486,158.56757,147.77538,8.769841,64.26,250,7.0833344,79.014084,213,-37,14,14.754084,169
117,142,188.7316,126.74586,117.25719,1,179.9763,124.76128,112.84116,5.387323,96.30319,188,7.6119413,95.44693,179,-9,113,-0.85626,86
118,143,249.29012,181.35721,167.54117,2,225.16791,169.34377,156.52582,7.2560983,83.97591,249,8.007247,78.200005,225,-24,49,-5.775905,65
119,144,199.59814,125.27106,111.53768,2,195.43173,123.53012,108.99625,6.761365,112.763824,199,7.327585,113.76923,195,-4,128,1.005406,104
120,145,229.36665,142.24844,149.52893,1,199.99843,133.50476,131.27313,251.58046,96.87773,229,1.2500012,87.13568,199,-30,32,-9.74205,50
121,146,167.82913,124.26085,108.51387,1,175.11513,120.346855,109.99396,11.525423,90.08982,167,7.0833344,96.171425,175,8,160,6.081605,134
122,147,203.60127,149.8298,139.83844,1,198.9933,138.59976,134.57451,6.640625,80.39409,203,2.65625,82.42424,198,-5,122,2.03015,110
123,148,241.56627,161.12973,165.44072,1,226.17914,155.77289,158.48009,252.875,84.64731,241,253.20424,80.11063,226,-15,86,-4.53668,68
124,150,218.98305,153.34578,138.12474,2,190.19353,129.29546,114.71202,7.96875,93.57798,218,8.388159,102,190,-28,38,8.42202,144
125,151,199.44832,127.06305,116.65521,2,202.84888,147.01172,130.65463,5.632529,106.35679,199,10.034722,90.89109,202,3,146,-15.4657,36
126,152,192.8871,136.56314,121.95458,2,187.78638,131.82082,118.46143,8.978872,94.296875,192,8.007247,94.09091,187,-5,123,-0.205965,91
127,153,223.44693,153.72472,142.1625,2,207.56674,142.14032,131.6094,5.771604,92.62332,223,6.151315,93.62319,207,-16,80,0.99987,103
